Location,Period,Value
USA,1991-Q1,57.87493
USA,1991-Q2,58.32902
USA,1991-Q3,58.90694
USA,1991-Q4,59.53991
USA,1992-Q1,60.11783
USA,1992-Q2,60.57191
USA,1992-Q3,60.97095
USA,1992-Q4,61.5764
USA,1993-Q1,62.20936
USA,1993-Q2,62.63593
USA,1993-Q3,62.9524
USA,1993-Q4,63.47529
USA,1994-Q1,63.99817
USA,1994-Q2,64.41097
USA,1994-Q3,64.79626
USA,1994-Q4,65.23658
USA,1995-Q1,65.86954
USA,1995-Q2,66.37867
USA,1995-Q3,66.70891
USA,1995-Q4,67.21803
USA,1996-Q1,67.76844
USA,1996-Q2,68.15372
USA,1996-Q3,68.48396
USA,1996-Q4,68.96556
USA,1997-Q1,69.46093
USA,1997-Q2,69.88749
USA,1997-Q3,70.05261
USA,1997-Q4,70.49294
USA,1998-Q1,70.9883
USA,1998-Q2,71.42862
USA,1998-Q3,71.73135
USA,1998-Q4,72.14414
USA,1999-Q1,72.54319
USA,1999-Q2,72.92847
USA,1999-Q3,73.16239
USA,1999-Q4,73.60271
USA,2000-Q1,74.13936
USA,2000-Q2,74.68976
USA,2000-Q3,75.03376
USA,2000-Q4,75.48785
USA,2001-Q1,76.12081
USA,2001-Q2,76.64369
USA,2001-Q3,77.04274
USA,2001-Q4,77.5381
USA,2002-Q1,78.04723
USA,2002-Q2,78.51507
USA,2002-Q3,78.79027
USA,2002-Q4,79.12051
USA,2003-Q1,79.43699
USA,2003-Q2,79.7122
USA,2003-Q3,79.84979
USA,2003-Q4,80.0562
USA,2004-Q1,80.49652
USA,2004-Q2,81.12949
USA,2004-Q3,81.2946
USA,2004-Q4,81.74869
USA,2005-Q1,82.36789
USA,2005-Q2,82.87701
USA,2005-Q3,82.9871
USA,2005-Q4,83.48246
USA,2006-Q1,84.08791
USA,2006-Q2,84.91351
USA,2006-Q3,85.32631
USA,2006-Q4,85.68407
USA,2007-Q1,86.28181
USA,2007-Q2,86.84006
USA,2007-Q3,87.16947
USA,2007-Q4,87.66676
USA,2008-Q1,88.32188
USA,2008-Q2,88.86155
USA,2008-Q3,89.35567
USA,2008-Q4,89.41485
USA,2009-Q1,89.8593
USA,2009-Q2,90.48001
USA,2009-Q3,90.69041
USA,2009-Q4,90.97345
USA,2010-Q1,91.05698
USA,2010-Q2,91.31525
USA,2010-Q3,91.46552
USA,2010-Q4,91.63545
USA,2011-Q1,92.03821
USA,2011-Q2,92.68011
USA,2011-Q3,93.2008
USA,2011-Q4,93.61566
USA,2012-Q1,94.09658
USA,2012-Q2,94.77729
USA,2012-Q3,95.06419
USA,2012-Q4,95.43612
USA,2013-Q1,95.92103
USA,2013-Q2,96.36713
USA,2013-Q3,96.7103
USA,2013-Q4,97.06435
USA,2014-Q1,97.47028
USA,2014-Q2,98.20506
USA,2014-Q3,98.42248
USA,2014-Q4,98.71983
USA,2015-Q1,99.1274
USA,2015-Q2,99.93608
USA,2015-Q3,100.2348
USA,2015-Q4,100.7017
USA,2016-Q1,101.3521
USA,2016-Q2,102.1453
USA,2016-Q3,102.4787
USA,2016-Q4,102.8675
USA,2017-Q1,103.5469
USA,2017-Q2,103.9562
USA,2017-Q3,104.2102
USA,2017-Q4,104.6713
USA,2018-Q1,105.5441
USA,2018-Q2,106.2542
USA,2018-Q3,106.5455
USA,2018-Q4,106.9504
USA,2019-Q1,107.7514
USA,2019-Q2,108.4431
USA,2019-Q3,109.0153
USA,2019-Q4,109.4067
DEU,1991-Q1,65.98556
DEU,1991-Q2,66.65607
DEU,1991-Q3,67.59853
DEU,1991-Q4,69.0249
DEU,1992-Q1,70.03828
DEU,1992-Q2,70.87586
DEU,1992-Q3,71.57648
DEU,1992-Q4,71.93454
DEU,1993-Q1,74.04927
DEU,1993-Q2,74.73454
DEU,1993-Q3,75.56049
DEU,1993-Q4,75.69028
