Location,Period,Value
USA,1991-Q1,52.936787772
USA,1991-Q2,53.349530113
USA,1991-Q3,53.619136598
USA,1991-Q4,53.806023334
USA,1992-Q1,54.450217137
USA,1992-Q2,55.040622625
USA,1992-Q3,55.584484624
USA,1992-Q4,56.164150535
USA,1993-Q1,56.257913058
USA,1993-Q2,56.585430282
USA,1993-Q3,56.855430391
USA,1993-Q4,57.628749131
USA,1994-Q1,58.187957183
USA,1994-Q2,58.976510272
USA,1994-Q3,59.321277843
USA,1994-Q4,60.000844698
USA,1995-Q1,60.213715999
USA,1995-Q2,60.39334727
USA,1995-Q3,60.907128877
USA,1995-Q4,61.320738257
USA,1996-Q1,61.780061323
USA,1996-Q2,62.810518211
USA,1996-Q3,63.373949753
USA,1996-Q4,64.032005537
USA,1997-Q1,64.445295762
USA,1997-Q2,65.518450318
USA,1997-Q3,66.336493361
USA,1997-Q4,66.902914325
USA,1998-Q1,67.574454423
USA,1998-Q2,68.199982957
USA,1998-Q3,69.058580008
USA,1998-Q4,70.169868309
USA,1999-Q1,70.829067733
USA,1999-Q2,71.420308344
USA,1999-Q3,72.367258235
USA,1999-Q4,73.554564023
USA,2000-Q1,73.821415133
USA,2000-Q2,75.16591557
USA,2000-Q3,75.242534132
USA,2000-Q4,75.691761249
USA,2001-Q1,75.443644558
USA,2001-Q2,75.914792329
USA,2001-Q3,75.610647916
USA,2001-Q4,75.818407413
USA,2002-Q1,76.452521226
USA,2002-Q2,76.920950857
USA,2002-Q3,77.233643315
USA,2002-Q4,77.329108
USA,2003-Q1,77.73635555
USA,2003-Q2,78.424805563
USA,2003-Q3,79.729166895
USA,2003-Q4,80.654600396
USA,2004-Q1,81.111630862
USA,2004-Q2,81.74020733
USA,2004-Q3,82.515589941
USA,2004-Q4,83.357420697
USA,2005-Q1,84.282157375
USA,2005-Q2,84.697351894
USA,2005-Q3,85.361221625
USA,2005-Q4,85.835417329
USA,2006-Q1,86.990233101
USA,2006-Q2,87.215322734
USA,2006-Q3,87.346107278
USA,2006-Q4,88.096803223
USA,2007-Q1,88.361829828
USA,2007-Q2,88.902393889
USA,2007-Q3,89.414494611
USA,2007-Q4,89.976229309
USA,2008-Q1,89.592242865
USA,2008-Q2,90.1257004
USA,2008-Q3,89.652307903
USA,2008-Q4,87.689795039
USA,2009-Q1,86.694626094
USA,2009-Q2,86.53974532
USA,2009-Q3,86.843666325
USA,2009-Q4,87.782371369
USA,2010-Q1,88.207677793
USA,2010-Q2,89.061163038
USA,2010-Q3,89.74790025
USA,2010-Q4,90.219175683
USA,2011-Q1,90.005171381
USA,2011-Q2,90.614130433
USA,2011-Q3,90.593911941
USA,2011-Q4,91.611326015
USA,2012-Q1,92.379570185
USA,2012-Q2,92.791892305
USA,2012-Q3,92.925538609
USA,2012-Q4,93.032998217
USA,2013-Q1,93.950825181
USA,2013-Q2,94.202271727
USA,2013-Q3,95.00430381
USA,2013-Q4,95.832495994
USA,2014-Q1,95.501781898
USA,2014-Q2,96.73551415
USA,2014-Q3,97.911229279
USA,2014-Q4,98.40639881
USA,2015-Q1,99.292533648
USA,2015-Q2,99.907556652
USA,2015-Q3,100.307431713
USA,2015-Q4,100.492477987
USA,2016-Q1,101.074851399
USA,2016-Q2,101.399427074
USA,2016-Q3,102.118744728
USA,2016-Q4,102.684788024
USA,2017-Q1,103.184750204
USA,2017-Q2,103.762453309
USA,2017-Q3,104.580645292
USA,2017-Q4,105.759317927
USA,2018-Q1,106.619574585
USA,2018-Q2,107.185538092
USA,2018-Q3,107.854051534
USA,2018-Q4,108.006820563
USA,2019-Q1,108.593406825
USA,2019-Q2,109.494371749
USA,2019-Q3,110.734040291
USA,2019-Q4,111.444198187
DEU,1991-Q1,73.692504498
DEU,1991-Q2,73.302490687
DEU,1991-Q3,73.142484343
DEU,1991-Q4,74.082519632
DEU,1992-Q1,75.217484501
DEU,1992-Q2,74.637497853
DEU,1992-Q3,74.507506908
DEU,1992-Q4,74.267513253
DEU,1993-Q1,73.730002598
DEU,1993-Q2,73.710001144
DEU,1993-Q3,74.139996715
DEU,1993-Q4,74.090001011
DEU,1994-Q1,75.117524816
DEU,1994-Q2,75.297514109
DEU,1994-Q3,75.817499039
DEU,1994-Q4,76.737466784
DEU,1995-Q1,76.462485125
DEU,1995-Q2,77.022504686
DEU,1995-Q3,77.162506932
DEU,1995-Q4,77.192507791
DEU,1996-Q1,76.559994195
DEU,1996-Q2,77.599999744
DEU,1996-Q3,77.860000139
DEU,1996-Q4,78.439997362
DEU,1997-Q1,78.032471043
DEU,1997-Q2,79.042502168
DEU,1997-Q3,79.28250904
DEU,1997-Q4,79.882520934
DEU,1998-Q1,80.627497106
DEU,1998-Q2,80.2875094
DEU,1998-Q3,80.667496049
DEU,1998-Q4,80.337502461
DEU,1999-Q1,81.267515874
DEU,1999-Q2,81.267515874
DEU,1999-Q3,82.167494061
DEU,1999-Q4,82.847472117
DEU,2000-Q1,84.02999926
DEU,2000-Q2,84.709997143
DEU,2000-Q3,84.6699982
DEU,2000-Q4,84.419995888
DEU,2001-Q1,86.117493057
DEU,2001-Q2,86.087494841
DEU,2001-Q3,85.90749894
DEU,2001-Q4,85.827498411
DEU,2002-Q1,85.387512688
