Location,Period,Value
USA,1991-Q1,8.01666666666666
USA,1991-Q2,8.13
USA,1991-Q3,7.94
USA,1991-Q4,7.34666666666667
USA,1992-Q1,7.30333333333333
USA,1992-Q2,7.37666666666667
USA,1992-Q3,6.61666666666667
USA,1992-Q4,6.74333333333333
USA,1993-Q1,6.28
USA,1993-Q2,5.99
USA,1993-Q3,5.61666666666667
USA,1993-Q4,5.60666666666667
USA,1994-Q1,6.06666666666667
USA,1994-Q2,7.08333333333333
USA,1994-Q3,7.33333333333333
USA,1994-Q4,7.83666666666667
USA,1995-Q1,7.48333333333333
USA,1995-Q2,6.62
USA,1995-Q3,6.32333333333333
USA,1995-Q4,5.89333333333333
USA,1996-Q1,5.91
USA,1996-Q2,6.72
USA,1996-Q3,6.78
USA,1996-Q4,6.34333333333333
USA,1997-Q1,6.56333333333333
USA,1997-Q2,6.69666666666667
USA,1997-Q3,6.24333333333333
USA,1997-Q4,5.90666666666667
USA,1998-Q1,5.58666666666667
USA,1998-Q2,5.59666666666667
USA,1998-Q3,5.20333333333333
USA,1998-Q4,4.67
USA,1999-Q1,4.98333333333333
USA,1999-Q2,5.54
USA,1999-Q3,5.88333333333333
USA,1999-Q4,6.14
USA,2000-Q1,6.48
USA,2000-Q2,6.17666666666667
USA,2000-Q3,5.89333333333333
USA,2000-Q4,5.56666666666667
USA,2001-Q1,5.05
USA,2001-Q2,5.27
USA,2001-Q3,4.98
USA,2001-Q4,4.77
USA,2002-Q1,5.07666666666667
USA,2002-Q2,5.1
USA,2002-Q3,4.26
USA,2002-Q4,4.00666666666667
USA,2003-Q1,3.92
USA,2003-Q2,3.62
USA,2003-Q3,4.23333333333333
USA,2003-Q4,4.28666666666667
USA,2004-Q1,4.02
USA,2004-Q2,4.6
USA,2004-Q3,4.30333333333333
USA,2004-Q4,4.17333333333333
USA,2005-Q1,4.29666666666667
USA,2005-Q2,4.16
USA,2005-Q3,4.21333333333333
USA,2005-Q4,4.49
USA,2006-Q1,4.57
USA,2006-Q2,5.07
USA,2006-Q3,4.89666666666667
USA,2006-Q4,4.63
USA,2007-Q1,4.68
USA,2007-Q2,4.84666666666667
USA,2007-Q3,4.73
USA,2007-Q4,4.26
USA,2008-Q1,3.66333333333333
USA,2008-Q2,3.88666666666667
USA,2008-Q3,3.86333333333333
USA,2008-Q4,3.25333333333333
USA,2009-Q1,2.73666666666667
USA,2009-Q2,3.31333333333333
USA,2009-Q3,3.51666666666667
USA,2009-Q4,3.46
USA,2010-Q1,3.71666666666667
USA,2010-Q2,3.49
USA,2010-Q3,2.78666666666667
USA,2010-Q4,2.86333333333333
USA,2011-Q1,3.46
USA,2011-Q2,3.21
USA,2011-Q3,2.42666666666667
USA,2011-Q4,2.04666666666667
USA,2012-Q1,2.03666666666667
USA,2012-Q2,1.82333333333333
USA,2012-Q3,1.64333333333333
USA,2012-Q4,1.70666666666667
USA,2013-Q1,1.95
USA,2013-Q2,1.99666666666667
USA,2013-Q3,2.71
USA,2013-Q4,2.74666666666667
USA,2014-Q1,2.76333333333333
USA,2014-Q2,2.62333333333333
USA,2014-Q3,2.49666666666667
USA,2014-Q4,2.28
USA,2015-Q1,1.96666666666667
USA,2015-Q2,2.16666666666667
USA,2015-Q3,2.22
USA,2015-Q4,2.19
USA,2016-Q1,1.92
USA,2016-Q2,1.75333333333333
USA,2016-Q3,1.56333333333333
USA,2016-Q4,2.13
USA,2017-Q1,2.44333333333333
USA,2017-Q2,2.26333333333333
USA,2017-Q3,2.24333333333333
USA,2017-Q4,2.37
USA,2018-Q1,2.76
USA,2018-Q2,2.92
USA,2018-Q3,2.92666666666667
USA,2018-Q4,3.03333333333333
USA,2019-Q1,2.65333333333333
USA,2019-Q2,2.33333333333333
USA,2019-Q3,1.79666666666667
USA,2019-Q4,1.79333333333333
DEU,1991-Q1,8.56833333333333
DEU,1991-Q2,8.38666666666666
DEU,1991-Q3,8.53583333333334
DEU,1991-Q4,8.29166666666666
DEU,1992-Q1,7.965
DEU,1992-Q2,8.05916666666667
DEU,1992-Q3,7.93916666666667
DEU,1992-Q4,7.3775
DEU,1993-Q1,6.89166666666667
DEU,1993-Q2,6.77166666666667
DEU,1993-Q3,6.39
DEU,1993-Q4,5.9325
DEU,1994-Q1,6.09833333333333
DEU,1994-Q2,6.77429365066667
DEU,1994-Q3,7.16707007933333
DEU,1994-Q4,7.49796031733333
DEU,1995-Q1,7.432433465
DEU,1995-Q2,6.911238095
DEU,1995-Q3,6.73123533466667
DEU,1995-Q4,6.327264373
DEU,1996-Q1,6.17893217866667
DEU,1996-Q2,6.46064912266667
DEU,1996-Q3,6.33587834866667
DEU,1996-Q4,5.88605339133333
DEU,1997-Q1,5.68795135566667
DEU,1997-Q2,5.78216690733333
DEU,1997-Q3,5.603083004
DEU,1997-Q4,5.48735007966667
DEU,1998-Q1,5.00030880233333
DEU,1998-Q2,4.88841228066667
DEU,1998-Q3,4.39030993166667
DEU,1998-Q4,4.01617388166667
DEU,1999-Q1,3.862942029
DEU,1999-Q2,4.07419381766667
DEU,1999-Q3,4.86530303
DEU,1999-Q4,5.16
DEU,2000-Q1,5.46037957233333
DEU,2000-Q2,5.26503367
DEU,2000-Q3,5.246652864
