Location,Period,Value
USA,1991-Q1,60.047207614479
USA,1991-Q2,60.3160959607134
USA,1991-Q3,61.4025578648303
USA,1991-Q4,61.6415475563628
USA,1992-Q1,61.7247582727856
USA,1992-Q2,62.9874526254735
USA,1992-Q3,63.6410990765423
USA,1992-Q4,64.1106975241403
USA,1993-Q1,64.8492175756531
USA,1993-Q2,65.0629979454236
USA,1993-Q3,65.1811957416534
USA,1993-Q4,66.3298495081646
USA,1994-Q1,67.1306611951131
USA,1994-Q2,68.6749150702772
USA,1994-Q3,69.6931322141625
USA,1994-Q4,71.3859481477841
USA,1995-Q1,72.1667719687973
USA,1995-Q2,72.2824089236343
USA,1995-Q3,72.8798166371047
USA,1995-Q4,73.6142127362449
USA,1996-Q1,73.9881288372608
USA,1996-Q2,75.7747646873608
USA,1996-Q3,77.196264464077
USA,1996-Q4,78.3041775720679
USA,1997-Q1,80.0717567712845
USA,1997-Q2,81.4480926179839
USA,1997-Q3,83.5443574728387
USA,1997-Q4,85.8631827250961
USA,1998-Q1,87.1526827682064
USA,1998-Q2,87.6071489712111
USA,1998-Q3,88.3403810515364
USA,1998-Q4,89.9951169410716
USA,1999-Q1,91.1394804668081
USA,1999-Q2,92.1312244970753
USA,1999-Q3,92.8763295693122
USA,1999-Q4,94.8332780008675
USA,2000-Q1,95.8666606470265
USA,2000-Q2,97.025823840552
USA,2000-Q3,96.9463047266564
USA,2000-Q4,96.299575873116
USA,2001-Q1,94.9249694257987
USA,2001-Q2,93.6526968611484
USA,2001-Q3,92.2694101592403
USA,2001-Q4,91.3345367624995
USA,2002-Q1,92.1565003341981
USA,2002-Q2,93.4625959598404
USA,2002-Q3,94.210494677233
USA,2002-Q4,94.1064979105446
USA,2003-Q1,94.5950199783044
USA,2003-Q2,94.0745372796564
USA,2003-Q3,94.6468687020866
USA,2003-Q4,95.6632234158681
USA,2004-Q1,96.2896983420298
USA,2004-Q2,97.0957647424854
USA,2004-Q3,98.057876179494
USA,2004-Q4,99.367862953746
USA,2005-Q1,100.911617963704
USA,2005-Q2,101.564865322607
USA,2005-Q3,101.423852757606
USA,2005-Q4,102.943163372452
USA,2006-Q1,103.932047242202
USA,2006-Q2,104.119088436911
USA,2006-Q3,104.409627533102
USA,2006-Q4,104.837321303365
USA,2007-Q1,106.060206212585
USA,2007-Q2,107.483102811879
USA,2007-Q3,107.511238809518
USA,2007-Q4,107.851830714748
USA,2008-Q1,107.30394368743
USA,2008-Q2,104.976205376819
USA,2008-Q3,101.085322828562
USA,2008-Q4,95.0055195277875
USA,2009-Q1,88.4940315350989
USA,2009-Q2,86.1304747026701
USA,2009-Q3,88.033445918896
USA,2009-Q4,89.5621019419409
USA,2010-Q1,90.9990997977351
USA,2010-Q2,93.2725615738931
USA,2010-Q3,94.249173359567
USA,2010-Q4,94.6346631333707
USA,2011-Q1,95.33297464925
USA,2011-Q2,95.2752060583521
USA,2011-Q3,96.2608971907819
USA,2011-Q4,97.1802725084448
USA,2012-Q1,98.4914898168724
USA,2012-Q2,98.6208954514052
USA,2012-Q3,98.3151575952602
USA,2012-Q4,98.5685146047362
USA,2013-Q1,99.2460733280304
USA,2013-Q2,99.2724799262877
USA,2013-Q3,99.3281200256384
USA,2013-Q4,99.7261479449622
USA,2014-Q1,99.4596541517184
USA,2014-Q2,100.625934488855
USA,2014-Q3,100.987511990433
USA,2014-Q4,101.070855737578
USA,2015-Q1,100.188862052712
USA,2015-Q2,100.035111796108
USA,2015-Q3,100.229336649789
USA,2015-Q4,99.54668950139
USA,2016-Q1,99.4081380047404
USA,2016-Q2,99.1121779066402
USA,2016-Q3,99.1204258113856
USA,2016-Q4,99.2395880803476
USA,2017-Q1,99.2243893203934
USA,2017-Q2,99.970558638404
USA,2017-Q3,99.4601197592443
USA,2017-Q4,100.437097379403
USA,2018-Q1,100.534010260161
USA,2018-Q2,101.116152698316
USA,2018-Q3,101.507761885318
USA,2018-Q4,101.067829288659
USA,2019-Q1,99.8787341827511
USA,2019-Q2,99.0778559804418
USA,2019-Q3,98.9171881263097
USA,2019-Q4,98.3840675091004
DEU,1991-Q1,77.1120581599398
DEU,1991-Q2,75.9421743126932
DEU,1991-Q3,74.5048884432188
DEU,1991-Q4,75.7750480488009
DEU,1992-Q1,77.1120581599398
DEU,1992-Q2,75.0731177404529
DEU,1992-Q3,72.8002005515167
DEU,1992-Q4,71.128937912593
DEU,1993-Q1,68.6888944597644
DEU,1993-Q2,67.5858611180747
DEU,1993-Q3,67.6192863708532
DEU,1993-Q4,68.2209409208657
DEU,1994-Q1,68.8225954708782
DEU,1994-Q2,69.7585025486755
DEU,1994-Q3,69.9256288125679
DEU,1994-Q4,72.1985460015041
DEU,1995-Q1,71.2626389237069
DEU,1995-Q2,71.5634661987131
DEU,1995-Q3,70.8949611431436
DEU,1995-Q4,69.9256288125679
DEU,1996-Q1,69.9256288125679
DEU,1996-Q2,70.360157098688
DEU,1996-Q3,70.8615358903652
DEU,1996-Q4,71.2292136709284
DEU,1997-Q1,71.5634661987131
DEU,1997-Q2,72.4659480237319
DEU,1997-Q3,73.3015793431938
DEU,1997-Q4,74.4714631904404
DEU,1998-Q1,76.0758753238071
DEU,1998-Q2,76.1761510821425
DEU,1998-Q3,76.1093005765856
DEU,1998-Q4,75.1065429932314
DEU,1999-Q1,75.4407955210161
DEU,1999-Q2,76.0758753238071
DEU,1999-Q3,77.2123339182752
DEU,1999-Q4,78.0813904905156
DEU,2000-Q1,78.7833207988635
DEU,2000-Q2,81.1230884933567
DEU,2000-Q3,82.4935238572742
DEU,2000-Q4,83.0617531545082
DEU,2001-Q1,83.4962814406284
DEU,2001-Q2,82.2929723406033
DEU,2001-Q3,81.4573410211414
DEU,2001-Q4,79.5521016127684
DEU,2002-Q1,80.153756162781
DEU,2002-Q2,80.7554107127935
DEU,2002-Q3,81.2567895044706
DEU,2002-Q4,80.9225369766859
DEU,2003-Q1,81.0228127350213
DEU,2003-Q2,80.2206066683379
DEU,2003-Q3,80.1203309100025
DEU,2003-Q4,82.2929723406033
DEU,2004-Q1,82.3932480989387
DEU,2004-Q2,83.7302582100777
DEU,2004-Q3,84.031085485084
DEU,2004-Q4,83.5965571989638
DEU,2005-Q1,84.8667168045458
DEU,2005-Q2,85.6689228712292
DEU,2005-Q3,86.9056572240328
DEU,2005-Q4,88.6437703685134
